2025-07-05 23:51:25,337 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/81/
2025-07-05 23:51:25,358 | INFO | crawler.sources.baradwajrangan_links | Page 81 attempt 1 length=211925
2025-07-05 23:51:25,382 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/82/
2025-07-05 23:51:25,403 | INFO | crawler.sources.baradwajrangan_links | Page 82 attempt 1 length=213343
2025-07-05 23:51:25,425 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/83/
2025-07-05 23:51:25,445 | INFO | crawler.sources.baradwajrangan_links | Page 83 attempt 1 length=209952
2025-07-05 23:51:25,467 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/84/
2025-07-05 23:51:25,486 | INFO | crawler.sources.baradwajrangan_links | Page 84 attempt 1 length=212332
2025-07-05 23:51:25,510 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/85/
2025-07-05 23:51:25,531 | INFO | crawler.sources.baradwajrangan_links | Page 85 attempt 1 length=212473
2025-07-05 23:51:25,553 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/86/
2025-07-05 23:51:25,574 | INFO | crawler.sources.baradwajrangan_links | Page 86 attempt 1 length=213594
2025-07-05 23:51:25,598 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/87/
2025-07-05 23:51:25,622 | INFO | crawler.sources.baradwajrangan_links | Page 87 attempt 1 length=213533
2025-07-05 23:51:25,643 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/88/
2025-07-05 23:51:25,662 | INFO | crawler.sources.baradwajrangan_links | Page 88 attempt 1 length=211988
2025-07-05 23:51:25,715 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/89/
2025-07-05 23:51:25,739 | INFO | crawler.sources.baradwajrangan_links | Page 89 attempt 1 length=212464
2025-07-05 23:51:25,760 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/90/
2025-07-05 23:51:25,778 | INFO | crawler.sources.baradwajrangan_links | Page 90 attempt 1 length=214594
2025-07-05 23:51:25,799 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/91/
2025-07-05 23:51:25,827 | INFO | crawler.sources.baradwajrangan_links | Page 91 attempt 1 length=212887
2025-07-05 23:51:25,852 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/92/
2025-07-05 23:51:25,870 | INFO | crawler.sources.baradwajrangan_links | Page 92 attempt 1 length=209193
2025-07-05 23:51:25,892 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/93/
2025-07-05 23:51:25,911 | INFO | crawler.sources.baradwajrangan_links | Page 93 attempt 1 length=207619
2025-07-05 23:51:25,935 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/94/
2025-07-05 23:51:25,959 | INFO | crawler.sources.baradwajrangan_links | Page 94 attempt 1 length=208289
2025-07-05 23:51:25,980 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/95/
2025-07-05 23:51:25,998 | INFO | crawler.sources.baradwajrangan_links | Page 95 attempt 1 length=215542
2025-07-05 23:51:26,021 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/96/
2025-07-05 23:51:26,045 | INFO | crawler.sources.baradwajrangan_links | Page 96 attempt 1 length=214979
2025-07-05 23:51:26,067 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/97/
2025-07-05 23:51:26,098 | INFO | crawler.sources.baradwajrangan_links | Page 97 attempt 1 length=217058
2025-07-05 23:51:26,120 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/98/
2025-07-05 23:51:26,137 | INFO | crawler.sources.baradwajrangan_links | Page 98 attempt 1 length=214340
2025-07-05 23:51:26,161 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/99/
2025-07-05 23:51:26,180 | INFO | crawler.sources.baradwajrangan_links | Page 99 attempt 1 length=213168
2025-07-05 23:51:26,202 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/100/
